date,SPY
20150901,-0.029848000000000003
20150902,0.018981
20150903,0.0007160000000000001
20150904,-0.015137000000000001
20150908,0.025131
20150909,-0.013372
20150910,0.005442
20150911,0.004543999999999999
20150914,-0.003711
20150915,0.012499
20150916,0.008667
20150917,-0.002248
20150918,-0.021429
20150921,0.005168
20150922,-0.012980000000000002
20150923,-0.001599
20150924,-0.003616
20150925,-0.000259
20150928,-0.025097
20150929,0.000585
20150930,0.018658
20151001,0.0026089999999999998
20151002,0.014938
20151005,0.017795
20151006,-0.003426
20151007,0.008191
20151008,0.009027
20151009,0.000596
20151012,0.000944
20151013,-0.006302
20151014,-0.004794
20151015,0.015355
20151016,0.004547
20151019,0.000492
20151020,-0.001377
20151021,-0.006106
20151022,0.016894
20151023,0.010962000000000001
20151026,-0.0024579999999999997
20151027,-0.0019320000000000001
20151028,0.011375
20151029,-0.0005740000000000001
20151030,-0.0043100000000000005
20151102,0.011831
20151103,0.0028989999999999997
20151104,-0.0030329999999999997
20151105,-0.000998
20151106,-0.000523
20151109,-0.009332
20151110,0.002307
20151111,-0.003932
20151112,-0.01396
20151113,-0.011228
20151116,0.015207
20151117,-0.000729
20151118,0.015865999999999998
20151119,-0.0008619999999999999
20151120,0.0036479999999999998
20151123,-0.00115
20151124,0.0013390000000000001
20151125,-0.000143
20151127,0.001147
20151130,-0.004152
20151201,0.009536
20151202,-0.010209999999999999
20151203,-0.013997999999999998
20151204,0.019503
20151207,-0.006059
20151208,-0.006723999999999999
20151209,-0.007775
20151210,0.002581
20151211,-0.019381
20151214,0.005056000000000001
20151215,0.010498
20151216,0.014628
20151217,-0.015238
20151218,-0.023622
20151221,0.008245
20151222,0.009073999999999999
20151223,0.012383
20151224,-0.00165
20151228,-0.002285
20151229,0.010672
20151230,-0.007088
20151231,-0.010003
20160104,-0.013983
20160105,0.001695
20160106,-0.012614
20160107,-0.023992
20160108,-0.010961
20160111,0.000974
20160112,0.008072
20160113,-0.024945
20160114,0.016416999999999998
20160115,-0.021466
20160119,0.0013310000000000002
20160120,-0.012815
20160121,0.005602
20160122,0.020515000000000002
20160125,-0.015116999999999998
20160126,0.013643
20160127,-0.010883
20160128,0.005209
20160129,0.024382
20160201,-0.000365
20160202,-0.018022
20160203,0.005995
20160204,0.001568
20160205,-0.01905
20160208,-0.013461
20160209,5.4000000000000005e-05
20160210,-0.000863
20160211,-0.013008
20160212,0.020617
20160216,0.016878
20160217,0.016335
20160218,-0.004096
20160219,-0.000469
20160222,0.014478999999999999
20160223,-0.012629999999999999
20160224,0.004576
20160225,0.012112000000000001
20160226,-0.002305
20160229,-0.007838
20160301,0.023507
20160302,0.004492
20160303,0.003894
20160304,0.003279
20160307,0.000798
20160308,-0.010918
20160309,0.00494
20160310,0.000802
20160311,0.016137000000000002
20160314,-0.001282
20160315,-0.0016300000000000002
20160316,0.005787
20160317,0.006344
20160318,-0.001222
20160321,0.001419
20160322,-0.000537
20160323,-0.006603
20160324,-0.000439
20160328,0.000591
20160329,0.009254
20160330,0.004384000000000001
20160331,-0.002427
20160401,0.006812
20160404,-0.0032380000000000004
20160405,-0.009992000000000001
20160406,0.010925
20160407,-0.011966
20160408,0.002693
20160411,-0.002343
20160412,0.009312
20160413,0.010105
20160414,4.4e-05
20160415,-0.001106
20160418,0.007023000000000001
20160419,0.0031579999999999998
20160420,0.000953
20160421,-0.005378
20160422,0.0
20160425,-0.0017230000000000001
20160426,0.001482
20160427,0.002062
20160428,-0.009087999999999999
20160429,-0.005383
20160502,0.007945
20160503,-0.008707
20160504,-0.005574
20160505,-0.000195
20160506,0.0036590000000000004
20160509,0.0008230000000000001
20160510,0.012438
20160511,-0.009355
20160512,0.000291
20160513,-0.008714
20160516,0.009865
20160517,-0.00933
20160518,0.00028900000000000003
20160519,-0.0034649999999999998
20160520,0.0063170000000000006
20160523,-0.001363
20160524,0.012962000000000001
20160525,0.006783
20160526,0.00028700000000000004
20160527,0.004299
20160531,-0.0019030000000000002
20160601,0.002049
20160602,0.0030440000000000003
20160603,-0.002987
20160606,0.0050880000000000005
20160607,0.0015609999999999999
20160608,0.0032600000000000003
